candidate_id,rank,score,reasoning
CAND_0046064,1,1.0,"8.9 years of experience as a Senior NLP Engineer. strong relevance in Python, Pinecone. high recruiter response rate (78%). actively open to opportunities."
CAND_0018499,2,0.948,"7.2 years of experience as a Senior Machine Learning Engineer. strong relevance in Recommendation Systems, Pinecone, Milvus. high recruiter response rate (61%). actively open to opportunities."
CAND_0033861,3,0.946,"8.0 years of experience as a Senior NLP Engineer. strong relevance in LoRA, Pinecone, Milvus."
CAND_0039754,4,0.921,"16.2 years of experience as a Senior Applied Scientist. strong relevance in Fine-tuning LLMs, NLP, Python. high recruiter response rate (81%). actively open to opportunities. Experience exceeds the preferred range but remains highly relevant."
CAND_0092278,5,0.912,"6.8 years of experience as a Senior NLP Engineer. strong relevance in NLP, Milvus."
CAND_0081846,6,0.893,"6.7 years of experience as a Lead AI Engineer. strong relevance in Recommendation Systems, Python, Embeddings. high recruiter response rate (73%). actively open to opportunities."
CAND_0094759,7,0.864,"8.6 years of experience as a Lead AI Engineer. strong relevance in Fine-tuning LLMs, NLP, FAISS."
CAND_0086022,8,0.861,"5.3 years of experience as a Senior Applied Scientist. strong relevance in Recommendation Systems, Fine-tuning LLMs, Pinecone. high recruiter response rate (55%). actively open to opportunities."
CAND_0055905,9,0.819,"8.1 years of experience as a Senior Machine Learning Engineer. strong relevance in Python, Fine-tuning LLMs, Embeddings. high recruiter response rate (87%). actively open to opportunities."
CAND_0041611,10,0.817,"6.4 years of experience as a Staff Machine Learning Engineer. strong relevance in NLP, Fine-tuning LLMs."
CAND_0002025,11,0.808,"5.9 years of experience as a Senior AI Engineer. strong relevance in FAISS, NLP, Pinecone. high recruiter response rate (80%). actively open to opportunities."
CAND_0005260,12,0.808,"5.2 years of experience as a Senior NLP Engineer. strong relevance in Python, NLP, LoRA. high recruiter response rate (86%)."
CAND_0042506,13,0.789,"4.2 years of experience as a Search Engineer. strong relevance in Fine-tuning LLMs, Milvus, FAISS. actively open to opportunities."
CAND_0077337,14,0.782,"7.0 years of experience as a Staff Machine Learning Engineer. strong relevance in Pinecone, Recommendation Systems, Python. high recruiter response rate (95%). actively open to opportunities."
CAND_0046525,15,0.777,6.1 years of experience as a Senior Machine Learning Engineer. strong relevance in NLP. high recruiter response rate (88%). actively open to opportunities.
CAND_0060072,16,0.767,"5.7 years of experience as a Staff Machine Learning Engineer. strong relevance in Milvus, Fine-tuning LLMs, Embeddings."
CAND_0011687,17,0.759,"7.8 years of experience as a Senior NLP Engineer. strong relevance in FAISS, Embeddings. high recruiter response rate (89%). actively open to opportunities."
CAND_0083307,18,0.754,"7.8 years of experience as a Search Engineer. strong relevance in Embeddings, Pinecone, Python. high recruiter response rate (70%). actively open to opportunities."
CAND_0016163,19,0.724,"6.7 years of experience as a Applied ML Engineer. strong relevance in Embeddings, LoRA, Pinecone. high recruiter response rate (72%). actively open to opportunities."
